"","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K15280",5.62920402411608,5.30527830818233,5.21874214792951,4.15722654105439,5.6331414797529,4.78257233954085,4.82281795012733,4.78915641931072
"K18410",4.32622995129873,3.54438689110964,3.06069622824735,4.45565302017821,4.49841661110216,3.95906613862805,4.17043650730496,4.29118429764356
"K07203",6.41407351809025,5.93044277836757,6.76198495398252,7.55645261845082,7.26317897532995,6.73127064731295,6.99994882383365,6.94687924247243
"K06225",7.69669394077353,7.31471262505995,6.64487309982998,7.51708801606621,7.01118882137715,6.63690898607235,6.40522652149449,6.44940490334108
"K11101",7.69669394077353,7.31471262505995,6.64487309982998,7.51708801606621,7.01118882137715,6.63690898607235,6.40522652149449,6.44940490334108
"K03364",5.42376322003149,5.11075510934637,5.56835127484861,5.04993187440687,5.79448515620543,4.78257233954085,5.17984546543623,4.17951147895877
"K09421",6.36307193090221,5.68103107446944,5.37991687335562,5.61402979579242,5.33308513454881,5.11813454237136,6.02791036977158,4.78915641931072
"K02109",4.80092974641208,5.02392031805905,5.65355478172838,5.26587545116269,5.09940721586595,6.27805593830214,5.01393701432728,5.80425956119225
"K00955",3.7524059391993,4.46274553755057,4.65118872180221,4.78943763297809,3.51052260228198,4.96160424265771,4.24314770247638,4.29118429764356
"K00956",3.7524059391993,4.46274553755057,4.65118872180221,4.78943763297809,3.51052260228198,4.96160424265771,4.24314770247638,4.29118429764356
"K08835",4.23739265122051,4.88130013178125,4.89543997178088,4.57810418974005,4.22388857893963,3.70098503283656,5.08290217076892,5.11276871592922
"K20493",4.68426628074085,5.06807712825723,5.65355478172838,5.56190875014732,5.60845679845221,4.68200447576778,4.54433216078526,4.52627663121796
"K00735",4.65320009003828,4.21963441023177,4.81940992850775,3.96294079341465,4.94395143366816,3.70098503283656,3.66420011010173,4.05265482807413
"K10158",4.65320009003828,4.21963441023177,4.81940992850775,3.96294079341465,4.94395143366816,3.70098503283656,3.66420011010173,4.05265482807413
"K13168",4.65320009003828,4.21963441023177,4.81940992850775,3.96294079341465,4.94395143366816,3.70098503283656,3.66420011010173,4.05265482807413
"K00759",4.88154790533973,5.15205964657426,5.21874214792951,4.57810418974005,5.17056108722248,5.04228251828983,4.69185540130071,3.71727225541024
"K09498",4.36787774396638,3.89089984849868,4.81940992850775,4.57810418974005,4.90187904770187,5.25763663122512,5.45923313723028,4.94672380271238
"K13138",7.90252745952117,8.39024470091146,9.36278218474086,9.22826363450136,8.40375044943236,8.22299525646031,8.81572636311038,8.67037461513472
"K16794",5.8076752149268,5.70810591998946,5.65355478172838,5.80464761754199,6.10495388362983,6.42701948162297,5.35444391746947,4.75503113699805
