"","ko_id","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"4026","K17803",5.41583837418738,5.36527962564404,5.34612319466355,5.04053560062366,5.22867616781829,5.55136310217993,5.34428264149181,5.25756047489144,5.18539388595069
"4027","K11968",7.16225130081815,7.29509731499541,7.50186511556258,7.40425176448868,7.42834838316738,7.33609441962852,7.48540973962964,7.46892766506231,7.68203904158645
"4028","K05396",5.14505595259481,5.09611996401737,5.34612319466355,5.3824329067883,5.44494548936948,5.45634757654023,5.40730067588451,5.39644990133891,5.54059239432406
"4029","K15449",5.41583837418738,5.36527962564404,5.34612319466355,5.39661273662904,5.47520986196188,5.47591133621941,5.09507934526149,5.18193065954307,5.13898286959012
"4030","K14803",6.92496537850072,6.72003956646087,6.46315036897825,6.65273208453079,6.71270880542147,6.61550721245836,6.87534505068315,6.85975318548522,6.75888328503919
"4031","K00472",10.8640052713016,10.7522317390672,10.3974851523271,10.6201397415244,10.5813834054779,10.5542305270722,10.6714463785197,10.7114012516517,10.8219515743952
"4032","K18417",4.5709792920049,4.38846189158423,4.80762406048475,4.36465938589194,4.46268026499597,4.57129099560329,4.41288781601995,4.64949643506596,4.60989129688241
"4033","K01230",8.30042404665305,8.26705016364281,8.64784876656616,8.31674198859219,8.25549966668892,8.31151962113467,8.50431518400238,8.55436510701632,8.47284583184405
"4034","K17301",8.90064757992919,9.01093955219012,9.35628299352976,9.04328229796599,9.03279092823618,8.8996642885534,8.95796938456705,8.93187359717502,8.91205131155633
"4035","K09613",8.34654151780823,8.13934989494017,7.90185807978721,8.0012876847723,8.21776546638872,8.13578018568272,7.97706291845672,8.05127193513786,7.94753428508466
"4036","K19307",6.9518863036412,6.66264966223322,7.07512191097848,6.66951032191427,6.80675823063122,6.84883666437119,6.92725089636684,6.71667417343474,6.94576819985233
"4037","K01280",7.80127735427834,7.78106268426992,7.97004251388702,7.72961083126101,7.67144830810073,7.69097007182246,7.69669645774809,7.68183798082215,7.42922787792255
"4038","K08823",4.65160600827139,4.38846189158423,4.80762406048475,4.613581984408,4.74393825720906,4.76237411985153,4.61321262495851,4.70971143979871,4.44635669290082
"4039","K12854",8.93121738962761,8.78439166246501,8.76750405772941,9.01538410726896,8.95598464298636,8.85958573934161,9.10176831041051,9.14325082231922,9.11638009890765
"4040","K10847",5.28768852084279,5.13313064265057,5.34612319466355,4.9828600261429,5.05357474864559,5.14548381702862,5.01350401626013,5.22031823857717,4.93320983448922
"4041","K12391",6.89752539540429,6.84897930408514,6.94504651453381,7.17032224843598,7.07073604628618,6.91195957742154,6.85404037641211,7.02045946763926,6.68569039733252
"4042","K07050",4.7264609982884,4.89168102178113,4.80762406048475,4.81347054863911,4.74393825720906,4.48361586106089,4.61321262495851,4.51740638499986,4.60989129688241
"4043","K14689",6.4820013811683,6.46156662542866,6.64263648672879,6.56571670238988,6.33125164666678,6.74470667994745,6.44648165366202,6.3293573778915,6.38549676681326
"4044","K00231",5.53240994740666,5.70945243428153,5.34612319466355,5.53048064256268,5.42954466007217,5.43648488299629,5.80264018609274,5.55134544723168,5.54059239432406
"4045","K00033",5.97192391520432,5.94424582809878,5.72241312259111,5.7417234899071,6.01002937598831,5.77054552329325,5.77963405473107,5.58024134100163,5.73298255486148
"4046","K08678",7.16225130081815,7.27999170809514,7.40650554543372,7.21269736276954,7.53126799679958,7.22484081860167,7.35553155318177,7.56208676017736,7.38392812388961
"4047","K00799",10.2259403788844,10.2044033795555,9.88318361730709,10.0192695349354,9.99484933319714,9.91362194771599,9.86838559920269,9.91061468165164,10.1401832850287
"4048","K01074",7.4714584629796,7.62870890300213,7.50186511556258,7.53429884288063,7.38729160650057,7.22484081860167,7.70855469279348,7.56208676017736,7.455735876888
"4049","K06174",9.01921952094632,9.01775956483482,8.6888477824692,9.00013534543787,9.00845897079178,8.92352529878858,8.74748655320184,8.89388030549787,9.12189156254091
"4050","K12837",9.41490302772058,9.43609427971952,8.98059135634524,9.14482721277611,9.19358248371691,9.25166881210832,9.20144764249759,9.19102519056184,9.14643569929136
"4051","K13342",5.28768852084279,4.93550965815532,5.34612319466355,5.00239799353347,5.21040342949173,5.06745459061394,5.20802702298758,5.22031823857717,5.04051279905164
"4052","K11767",4.7264609982884,4.7490243359204,4.80762406048475,4.613581984408,4.68769867033273,4.76237411985153,4.41288781601995,4.44409991670237,4.68270524401463
"4053","K07305",7.3455756467679,7.20197399206134,6.94504651453381,7.1266518672376,7.25654736741004,7.33609441962852,7.34795891507676,7.37720614011517,7.1868708855437
"4054","K10696",5.97192391520432,6.0018302047843,6.01576111355785,5.85613409749115,6.16203359621359,6.2832880232844,6.24676762289567,6.01576052286424,6.00284630344524
"4055","K15436",6.5719656734545,6.34911160759604,6.64263648672879,6.23689295799358,6.51751301690849,6.31505612048126,6.50261887778652,6.59900737359373,6.47549890451885
"4056","K13254",4.98362629595967,4.89168102178113,4.80762406048475,4.64071943128945,4.74393825720906,4.69002874584704,5.01350401626013,4.92208466703686,4.98807956038093
"4057","K14693",4.98362629595967,4.89168102178113,4.80762406048475,4.64071943128945,4.74393825720906,4.69002874584704,5.01350401626013,4.92208466703686,4.98807956038093
"4058","K10268",4.5709792920049,5.05794605071725,4.80762406048475,4.71816118878517,4.82321414513275,4.86268808243111,4.92591580602016,4.82092822753692,4.93320983448922
"4059","K18457",4.86231462576716,4.64243096009029,4.80762406048475,4.613581984408,4.46268026499597,4.65193535729147,4.8795212976921,4.82092822753692,4.68270524401463
"4060","K03258",8.25278037348042,8.21653034413074,8.42328251748696,8.15095652146103,8.08432220619605,8.07919043021857,7.97215610262731,8.00614569673399,8.11736075560264
"4061","K12815",7.41472953872586,7.31004513222422,7.67544158196234,7.44999702099267,7.56176271758004,7.49056476140526,7.39280549951779,7.31262394209315,7.22851384327266
"4062","K12619",7.96802818441432,7.86426682857097,8.03513992020436,7.8754494353777,7.75294951699107,7.77595728197288,7.89647083157821,8.05127193513786,8.17687316278148
"4063","K00827",4.7264609982884,4.89168102178113,4.80762406048475,4.79040505469962,4.71618561241202,4.48361586106089,4.61321262495851,4.51740638499986,4.60989129688241
"4064","K15176",6.40564460160086,6.28930680608116,6.25733923245012,6.60699172131245,6.6184790704993,6.45446023500293,6.46072743607784,6.54339164311809,6.28931681945742
"4065","K13719",6.12405788071054,6.09274857897107,6.25733923245012,5.91469870387109,6.04962837969567,6.38649031878161,6.24676762289567,6.22656807851626,6.16440295009634
"4066","K01092",5.86024154853631,5.77763030114138,5.72241312259111,5.76325921149528,5.6950967625222,5.70685201064403,5.84751157340513,6.13470359596221,5.90122654708303
"4067","K01228",6.62331277294362,6.51458928495895,6.25733923245012,6.46013929281215,6.47501051145029,6.43537368337804,6.46072743607784,6.24423437546193,6.22826057178109
"4068","K06063",7.3455756467679,7.14471214845242,7.30434310889011,7.03937892489405,7.42097049304481,7.2788986979264,7.10885717960221,7.07023762373161,7.1109412840668
"4069","K00861",5.0398781586389,5.09611996401737,4.80762406048475,5.1820807288462,5.13449677708903,5.14548381702862,5.09507934526149,5.14231501779659,5.31508017953496
"4070","K08498",6.2391868898028,6.0018302047843,6.01576111355785,5.84612350296188,5.85042644155883,6.08813767283543,5.86940288240794,5.93034022650199,5.84743243782587
"4071","K10644",4.98362629595967,4.97774672460432,4.80762406048475,5.23122545406685,4.92090222745264,5.1948742351299,5.09507934526149,5.10137836055206,5.09074676678863
"4072","K01738",9.42686842151116,9.3305129380816,9.04515230137407,9.24339313932332,9.22031014135297,9.28362191151367,9.169694548641,9.0550214503393,9.05720085014952
"4073","K20828",4.5709792920049,4.45847409015247,4.80762406048475,4.613581984408,4.49810955707814,4.69002874584704,4.61321262495851,4.36456796876952,4.68270524401463
"4074","K01409",5.94484738974925,6.07503820576164,5.72241312259111,5.65194868154413,5.80450722192177,5.84615365586893,5.80264018609274,5.6899106304759,5.73298255486148
"4075","K00049",5.67331985018982,5.82123961971547,5.72241312259111,5.66350566542928,5.7325643435475,5.70685201064403,5.52481524775851,5.46063520139358,5.43274022072676
"4076","K08871",7.77900450700854,7.77569892049712,7.67544158196234,7.53732792536568,7.63368556932288,7.5963901147781,7.4434115089827,7.45404265256835,7.44695424147836
"4077","K11722",7.77900450700854,7.77569892049712,7.67544158196234,7.53732792536568,7.63368556932288,7.5963901147781,7.4434115089827,7.45404265256835,7.44695424147836
"4078","K11724",7.77900450700854,7.77569892049712,7.67544158196234,7.53732792536568,7.63368556932288,7.5963901147781,7.4434115089827,7.45404265256835,7.44695424147836
"4079","K19501",4.65160600827139,4.38846189158423,4.80762406048475,4.49712720350144,4.49810955707814,4.57129099560329,4.55086446056474,4.76672716691189,4.60989129688241
"4080","K12872",5.77001731230328,5.84252863979227,5.72241312259111,5.66350566542928,6.02003646369182,6.01212191790258,5.77963405473107,5.66332850305892,5.76251744123399
"4081","K08838",7.57859641550345,7.62870890300213,7.30434310889011,7.30813049163097,7.32933818012776,7.24127379393112,7.42194169659658,7.36929087265581,7.49033412152531
"4082","K03511",4.86231462576716,4.69705718471015,4.80762406048475,4.69296938621466,4.96680581982908,4.57129099560329,4.8795212976921,4.96951636973074,4.81497110203892
"4083","K13354",4.98362629595967,4.84611167874814,4.80762406048475,4.92221777070801,5.07431728635596,4.83023849443937,4.7276772892469,4.64949643506596,4.75084093293581
"4084","K17622",4.98362629595967,4.84611167874814,4.80762406048475,4.92221777070801,5.07431728635596,4.83023849443937,4.7276772892469,4.64949643506596,4.75084093293581
"4085","K01209",7.3455756467679,7.27237867692182,7.50186511556258,7.03078187310414,7.28935678701653,7.18007306671095,7.24568536881582,7.31262394209315,7.15482254000628
"4086","K01647",9.01288191554827,9.14986396372498,9.45461743006972,9.34343800676126,9.28047429489328,9.18132209007886,9.25286328144659,9.2967031241903,9.37362674045221
"4087","K01955",6.4820013811683,6.27394684950588,6.25733923245012,6.07670883646529,6.22362584046602,6.14843651939109,6.10794527005674,6.3293573778915,6.09746377669693
"4088","K20412",4.86231462576716,4.93550965815532,4.80762406048475,5.07749644615965,5.153915510256,5.01248781657806,5.17151619080938,5.05901562367179,5.13898286959012
"4089","K06069",4.7264609982884,4.69705718471015,4.80762406048475,4.81347054863911,4.56532364400511,4.61240373084865,4.55086446056474,4.82092822753692,4.93320983448922
"4090","K11594",9.08110881953887,9.30100164021022,8.98059135634524,9.28352825209076,9.20111630441361,9.12511205834407,9.03518982962867,8.91571322284781,9.13285168334302
"4091","K12471",8.71788939215558,8.64742310038047,8.42328251748696,8.67613302185402,8.75124789168851,8.8201779276836,8.61224174025804,8.72485182179035,8.46852422154017
"4092","K20843",5.0398781586389,4.97774672460432,4.80762406048475,4.94278360989465,4.87310372099122,4.76237411985153,4.67199477189587,4.92208466703686,4.68270524401463
"4093","K15362",4.98362629595967,5.16905603921393,4.80762406048475,5.1133609655387,5.11476543445774,5.21885062652611,4.97052567648395,4.92208466703686,5.04051279905164
"4094","K17777",5.77001731230328,5.86348891120084,5.72241312259111,5.86607148748779,6.12557061869163,5.97247887084657,5.99384907414917,5.90812557973105,6.0509668187795
"4095","K13117",7.16225130081815,7.03186368927825,7.07512191097848,7.32577510295168,7.37588702598516,7.35130462373458,7.37055774041248,7.1920781731552,7.26897825327821
"4096","K06617",6.17126103908249,6.17805181417239,6.01576111355785,6.13490204813137,6.15300737748917,6.02508610326627,6.32698873308882,6.20867468375805,6.42219274054563
"4097","K00670",7.07935155549531,7.12792101118434,7.30434310889011,6.91402736438009,7.05649076778449,7.0429516258002,6.87534505068315,6.95833631570405,6.97056890933024
"4098","K10081",6.12405788071054,6.28930680608116,6.46315036897825,6.29613298716807,6.3549535448234,6.2832880232844,6.40285634414645,6.55750246038432,6.22826057178109
"4099","K11366",5.77001731230328,5.9044648741672,5.72241312259111,5.65194868154413,5.66952307564754,5.78600907780764,5.55261409480465,5.71597491302402,5.46969062229577
"4100","K21868",5.0398781586389,5.30319961753641,5.34612319466355,5.32409155987543,5.19185870400276,5.1948742351299,5.31157013873829,5.2937313736269,5.50562154111406
"4101","K22502",4.5709792920049,4.97774672460432,4.80762406048475,4.55704942344488,4.71618561241202,4.79682443930817,4.67199477189587,4.70971143979871,4.75084093293581
"4102","K14398",6.02452460929904,6.14455808008041,6.25733923245012,6.40086252341783,6.37053477201851,6.23977330681588,6.08957262839896,6.20867468375805,6.09746377669693
"4103","K13181",5.45586640299898,5.20396589571386,5.34612319466355,5.51769534032167,5.44494548936948,5.60524123830717,5.52481524775851,5.2937313736269,5.50562154111406
"4104","K22377",6.60640365615837,6.40646554369877,6.25733923245012,6.2742117573417,6.33919696922863,6.51929414797308,6.47483031041738,6.42510591804017,6.59254977237055
"4105","K06184",7.19635792533801,7.24929343406574,7.50186511556258,7.50054972718572,7.43568848149657,7.55761471801136,7.41471300777193,7.27072846902718,7.33714878829715
"4106","K17592",6.88360433719576,6.86937525061651,6.64263648672879,7.00905967807528,7.01288080586634,6.99846141544474,6.73078417346504,6.89337901287829,6.85539542560831
"4107","K17506",8.31596123809675,8.1225602332133,7.90185807978721,8.20710094112948,8.20496433762246,8.28016132788574,8.27667718332283,8.20114639221974,8.28407750964244
"4108","K12811",6.93848947685132,7.01368187928294,6.94504651453381,6.96910539422742,7.07545303876483,7.25212513329903,6.95750930394324,7.21877852588031,7.1868708855437
"4109","K12852",9.21134935000915,9.22839234653074,8.98059135634524,9.19160034973769,9.26925509180316,9.11922105277722,9.33722348089769,9.41637084835527,9.15452509819586
"4110","K18416",4.79646444805843,4.45847409015247,4.80762406048475,4.69296938621466,4.5973067444638,4.69002874584704,4.61321262495851,4.87262771604181,4.68270524401463
"4111","K04460",6.64002196166575,6.59055954483657,6.64263648672879,6.88088576361795,6.8293278999762,6.73696801537068,6.82147226891259,6.79001600851546,6.50994588169258
"4112","K17302",7.60417569612413,7.70408379106954,7.30434310889011,7.67293016055354,7.64638384380621,7.66689144818724,7.6726821009656,7.71963358942682,7.63645985064313
