"","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K00648",7.3540762016977,7.34119204192853,7.03375129658222,7.38111583909312,6.81852804283558,7.17472533191704,6.79792526602475,6.89081994142323,6.60114141472037
"K04739",7.64298822270456,7.74105464896259,7.71123058085594,7.82489572369142,7.88908931247734,8.01973681621029,8.56624645305678,8.07505442388537,7.73935459663767
"K11826",11.3497315721384,11.3698505354627,11.1281908890545,11.2549881693842,11.2702835232239,11.2600348900252,10.6107359421931,10.6604591247354,11.1203144896137
"K08804",7.28846209120514,7.17383082036568,7.46375005957869,7.24545353815022,7.88291864982245,7.90284987871646,7.8080090585206,7.68603243339894,7.67985731447332
"K06999",8.36564187950273,8.54998060203791,7.98581290077049,8.06034214091211,7.64084868446416,7.85490344338907,8.0871254302629,8.13241864822114,7.7738944725193
"K10655",6.70054393941119,6.76334174656512,6.47011426982338,6.54045271723556,6.25452063894641,6.73841284805823,6.38643119777511,6.64919384725896,5.88343358867994
"K12181",6.70054393941119,6.76334174656512,6.47011426982338,6.54045271723556,6.25452063894641,6.73841284805823,6.38643119777511,6.64919384725896,5.88343358867994
"K08134",5.43984038971845,5.52112512623226,5.78083589196666,5.05397381727148,4.81798836337156,5.3093458067014,5.27668584746325,5.19329223190541,5.50699608330568
"K05661",4.73358356907874,4.79512080659681,4.96997424857993,5.34149984035977,5.29827121932187,5.27955518817207,5.51689988862175,4.81268266273366,5.21271847302884
"K00677",5.69308894373688,5.6914522523291,5.30094685988732,5.6083404966332,5.42758116612426,5.42023574139853,6.20719783784051,5.92441498820773,5.83656815827299
"K03754",7.47680263281619,7.38556860857896,7.59744297996021,7.51874233783693,7.61122170454022,7.38769978410813,6.76670325085731,6.99739305526075,7.38363343550909
"K01456",7.62040648043619,7.62603427143491,7.32716200192311,7.24963608684965,7.35783353568123,7.26382185353439,7.37134483442669,7.35715161068327,6.65282110496417
"K01787",7.70150850096874,7.61678864013812,8.35122348612137,7.97026296217014,8.05185639815388,7.94542920989707,7.80047013554087,7.73413266692797,8.42851806111301
"K08766",7.70150850096874,7.61678864013812,8.35122348612137,7.97026296217014,8.05185639815388,7.94542920989707,7.80047013554087,7.73413266692797,8.42851806111301
"K02887",5.92694816703646,5.97140164774887,6.06388951739706,6.270311482211,6.23428922669676,6.50308264366855,5.59943025647818,5.69913463836962,6.1322952618045
"K19513",7.61279872394584,7.43914639371448,7.60652689431812,6.99874410433917,7.58096321739061,6.96986239434714,7.54442564380558,7.39198076633334,7.80761650565529
