"","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"K04718",5.80802947019962,6.39075325879385,6.70499236795266,6.67157666581946,6.32526145791798
"K03801",8.05751751266892,8.34767519472534,8.36159691870651,8.74936693567684,7.7889319478971
"K11339",7.40963441291074,7.11608357768156,6.642689811464,6.76679011110105,6.53994284437069
"K11724",6.26351517670892,5.94141757074093,5.55706884000262,5.52441167726889,5.38609728057304
"K08766",7.17508482587727,7.40409757781779,7.28397016374523,7.40418189230223,6.53994284437069
"K15107",4.87578354527503,5.07904409713312,5.18105281432452,5.15205674084878,4.3129310755871
"K01750",5.1572429064455,5.86289964106987,5.07781919944062,5.15205674084878,5.68243699846091
"K16912",5.73344415386834,5.59404529440202,5.27558102510326,5.02518853376076,5.92249353757786
"K06993",5.32921623383898,5.49003999973133,5.07781919944062,4.82779331672917,5.75568145547098
"K03027",7.00413533856304,6.72011961701875,6.28078023225146,6.27518470959719,6.97989950617881
"K12625",6.77443883429848,6.43381422959974,6.15058239142809,5.80960518264826,6.17823710477302
"K04648",9.14341685357347,8.65200218944889,8.67322440105815,8.70856027043213,8.13161945658725
"K10902",6.0700158754455,6.15247186369434,5.72487977503772,5.26589309955018,5.98370674228903
"K08486",7.38668679120221,6.89815032591288,6.41848965642034,6.73183898755303,6.69057762475673
"K01724",7.39820675614687,6.48581836432259,7.00557077673587,7.08474414732741,6.67261378393986
"K07509",8.00592363650006,7.3880429724316,7.55066267832726,7.31330372436908,8.09216469156669
"K12877",5.09355012730526,5.55348298727866,5.44436287773177,5.80960518264826,4.91908813884155
"K08303",6.45552512099899,6.50608499596698,6.17316752705143,5.73793140326089,6.63597819686666
"K11446",10.3523532625911,9.79786738667002,10.3459529218843,9.98318232283892,10.7154570723425
"K16365",6.18394607034569,6.1909803196086,5.66039966061274,5.6087765235755,6.41517924932895
"K00967",7.43221870153996,6.94303610498384,6.43708379256735,6.80089186042183,6.88990791222306
"K17267",7.92884464459875,8.77586644890691,8.52795339479682,8.8001889358033,8.64898764657263
"K11968",7.33965284745607,7.72664466295126,8.24756621362803,8.12175115262364,7.87677881155968
