"","add_backA","add_backB","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K03029",8.44730860346217,8.1931858802117,7.91968289636664,7.93023984787082,8.10049930009295,7.78959500066384,7.716321795922,7.80204069100618
"K12877",8.88677125091345,9.06455396332872,8.61547477181129,8.68965333565864,8.83839565964706,8.54846715208125,8.51793495839674,8.28274148895684
"K07304",8.52351206327453,8.22692544682035,8.28824845727886,8.30300146973912,8.21502423562564,7.82038471831895,8.0173162004462,7.83052615486744
"K18670",6.99721256580716,7.13596195601855,7.22906984202591,7.21547865419324,7.33604427497138,7.66743919218981,7.69014386627853,7.40239117359666
"K01939",6.80731740780232,6.78635182401848,7.41743752090267,7.42065401179357,7.1478502006837,7.22569854656964,7.29206090888772,7.16029394841665
"K04711",5.8771824296804,5.90215684897787,6.41393435912582,6.50809099728269,6.10141580635019,6.0785940418408,5.92277970024205,6.31616799571501
"K20444",6.05717708747176,6.71612867102482,6.63805367112611,6.55335751365881,6.2340329022607,6.6333418539477,6.3846081699604,6.73013272508007
"K12900",7.72876436216154,7.80083411544134,8.02295104873656,7.97273112639219,7.95290797204523,7.57019231923314,7.53123641053088,7.33584579270469
"K15745",5.9432722680367,5.90215684897787,6.17898289648368,6.16007967288206,5.93830662787646,6.0785940418408,6.46245843355677,6.55803646494884
"K13761",7.24315857198008,7.2562438328263,7.14976663580398,6.85864833887575,6.87348927434705,7.17683608244775,7.16652585192447,7.63903929292347
"K02048",6.80731740780232,6.76921140200317,6.86770808883789,7.05025101821973,7.0782101096196,6.3852968272155,6.51103293286983,6.6352711644771
"K12162",6.80731740780232,6.76921140200317,6.86770808883789,7.05025101821973,7.0782101096196,6.3852968272155,6.51103293286983,6.6352711644771
"K01535",6.28119097644187,6.26693363851698,6.49091831663893,6.6176654074002,6.73782335808218,6.86611955661534,6.91832096579254,6.6352711644771
"K13675",6.91662944563439,7.17328291764892,7.29326509389572,6.88337213254612,6.9153318341579,7.28421587656516,7.39530522986933,7.52603385114647
"K14546",6.00274229747537,6.03303214721413,6.32998422624029,6.25726299698973,6.39984543067711,5.90784869022809,5.66502423399177,5.97577467047256
"K04560",7.0165287288756,7.38690804101727,7.23999867774362,7.01433552842824,6.87348927434705,7.24943252894669,7.35044284643982,7.62816217803767
"K16547",6.35596340146056,5.85107928214351,6.22298865805425,6.06845323341132,6.17057436283257,6.6333418539477,6.43721938645265,6.41431461738208
"K03549",8.59580618347463,8.47565856578724,8.69786616337706,8.70831894094269,8.64846045782492,9.09174247765089,9.10710737782219,9.01963195298591
"K07300",9.77378865020386,9.64274726051396,9.29546451286278,9.17038875401463,9.07768051636178,9.30271084990832,9.27283530004406,9.55896086687685
"K16601",7.24315857198008,7.52429685614187,7.35436916554122,7.32786156382091,7.29908462856493,7.79735829258358,7.79193248779802,7.79241091058735
"K20224",7.84447088861997,7.73884918497848,7.45477409010618,7.62051451888531,7.51914714564097,7.22569854656964,7.26793645235632,7.1913123228368
"K01279",8.12598516315642,8.21576954079468,8.20883982368408,7.90483024738123,7.80290902747328,8.4792378103585,8.39674912716001,8.41813041674948
"K06201",6.48921544509287,6.32283539674236,6.04733565380903,6.25726299698973,6.43286170389236,6.35919384982304,5.74455211991834,6.12216991058968
"K05970",6.48921544509287,7.07112316089357,7.08367635416144,7.04315329695036,6.88409310949115,7.29560109223727,7.12625873432176,7.16029394841665
"K00600",10.6319444863894,10.7565262701781,10.8395816226665,10.8714048266307,10.6450339284129,10.2862833734962,10.2993760029382,10.3378882419166
"K12006",7.8138825807754,7.70675397081654,7.54798752304751,7.34473127183958,7.10479188926243,7.23762157537227,7.48061658213959,7.64982836635723
"K15710",7.8138825807754,7.77019721945827,8.02295104873656,7.91940779069383,8.03732527968029,8.32435801166941,8.37549493859926,8.34237464277841
"K03113",8.33174926471008,8.30786604492311,8.00168517289148,7.96924005003547,7.98461551650696,8.03800177859636,7.60838817506284,7.77294325078027
"K15378",6.97757749095014,7.01663503868271,7.02679747879977,7.0216051902367,6.89460011813106,7.30688515083004,7.36180603106704,7.59498678808846
"K18626",8.15040928006533,8.15275965719365,7.97697168848507,8.17655262737885,8.09637636990094,7.69277492459946,7.5895177951898,7.70250472767616
"K13025",9.72137081728979,9.45689293855229,9.56668853294047,9.58956469249744,9.55465287245995,9.21245251112977,9.02491225131961,9.19349223925903
"K20872",6.00274229747537,6.10766511725312,6.27817902098592,6.31621048902357,6.34798156996504,6.74693622696358,6.46245843355677,6.58443254412931
"K11128",6.31937840879241,6.51714560986243,6.70873777008455,6.81621073337253,6.67597033153632,6.15014057110059,6.26914480334658,6.31616799571501
"K17103",6.31937840879241,6.51714560986243,6.70873777008455,6.81621073337253,6.67597033153632,6.15014057110059,6.26914480334658,6.31616799571501
"K11095",6.51980856798127,6.42503426957847,6.20858893337459,6.33033749475942,6.36560202983257,6.03993194931504,5.86997237739807,5.9185435315942
"K09201",7.95109396288339,7.83818080690522,7.52202390972965,7.51216165588228,7.63419292318667,7.34014984725238,7.35044284643982,7.2799997546658
"K00079",7.87438600560228,7.80838618965147,7.58599944482147,7.63848650904596,7.77708654343053,7.49469098074987,7.33897803839313,7.17590004256998
"K07874",11.2561426358954,11.2857092600137,11.1441459218456,10.8613354140031,10.6587948084536,11.0289287592977,11.1111159128435,11.4030125567133
"K14152",7.21088492687397,7.24472320873713,7.67846752355235,7.57449143798129,7.40691116852183,7.07290599860219,7.07042605041052,7.04511733208545
"K12311",6.66022238482439,6.58096977551926,6.83003172694611,6.78107003110084,6.65019313323135,7.24943252894669,7.05605786891051,7.07915030761279
"K14274",6.78412943207522,6.6410333509751,6.63805367112611,6.35793037412777,6.59665793453526,6.50584987779118,6.81654353909367,6.07674622821797
"K15255",8.61910446043921,8.60023392525567,8.48102728867315,8.29196818950406,8.20742196672592,8.74179559801455,8.72041629650042,8.93688763231911
"K02864",8.26647865185546,8.15275965719365,7.95180520168717,8.053963235563,8.13706341937353,7.85049109889197,7.69014386627853,7.57239988788939
"K14555",7.30532733007158,7.13596195601855,7.23999867774362,7.23998414275309,7.33604427497138,6.78230464432354,6.74320668632136,6.89835153945722
"K06235",7.05425062399969,6.89954008337009,6.40240480242992,6.47272059899646,6.65019313323135,6.35919384982304,6.57968973106498,6.6352711644771
"K03841",7.75055235967287,7.75461428120453,7.77583974630594,7.77418398856155,7.53799150087032,8.13814516589656,8.17429930743528,8.16263575157905
"K18272",8.22885386175084,8.34919088131016,8.3104810632977,7.92663868387881,7.81310168527686,8.34011645090319,8.42287205758246,8.49000805058526
"K02136",10.4589171325964,10.5710546566047,10.5486548538368,10.6073472024677,10.4757699942922,10.1518918485611,10.0850910148149,10.0136484329465
"K06228",5.71197548704316,5.85107928214351,5.95009424936897,5.9628164351083,5.79792787168075,6.11524194370636,5.74455211991834,5.30872168220554
"K03016",7.25898977079085,7.01663503868271,7.02030845968692,7.18415565670667,7.1393583820832,6.74693622696358,6.53444597225504,6.93679395408998
"K00726",7.4350401330511,7.2562438328263,6.78309522999523,6.96976018272534,6.99476549945117,7.29560109223727,7.36180603106704,7.40239117359666
"K09495",9.19138739177016,9.27810285067021,9.7632501797524,9.67478918660501,9.47269068994306,9.23207986281033,9.19987657839412,9.13538920934932
"K02968",6.85230623923835,7.07112316089357,7.13801197239515,7.14549502053371,7.01381695221273,6.86611955661534,6.57968973106498,6.53093107248925
"K13190",8.51731691571137,8.68293540603642,8.7145203753743,8.96748725994505,9.05903106090803,8.67338673372277,8.46870324099328,8.36170076054306
"K05636",6.05717708747176,5.99238781116182,5.90645180208292,5.77319947279884,5.83670851031269,6.21549426162575,6.26914480334658,6.47438592905748
"K10414",6.05717708747176,5.99238781116182,5.90645180208292,5.77319947279884,5.83670851031269,6.21549426162575,6.26914480334658,6.47438592905748
"K04515",7.1263408202043,6.98843269852437,7.22906984202591,7.15202295111278,7.08713534050988,6.79957467318426,6.62301057637508,6.6352711644771
"K11886",7.76131567441876,7.93074093413805,7.34438592740474,7.32218847586785,7.51914714564097,7.50436920604515,7.88659580068737,7.77294325078027
"K15175",6.28119097644187,6.66030981501611,6.89698023139832,7.05730720530308,6.98512411818883,6.76476203118098,6.79865734721592,6.73013272508007
"K05592",6.31937840879241,6.51714560986243,6.41393435912582,6.34424110953563,6.51070328120873,6.43537583942584,5.8113453360625,6.55803646494884
"K15630",7.22712557747807,7.13596195601855,7.7685944587618,7.52194498342367,7.5317399887621,7.17683608244775,7.12625873432176,7.20653613995895
"K01778",6.66022238482439,6.60138122214857,6.54238651871577,6.53098170943791,6.70113870669728,6.11524194370636,6.20494825500365,6.16495288744676
"K03027",6.19916173643512,6.34949212634262,6.45868337233615,6.58601679552407,6.61030251777994,6.0785940418408,6.05802548013405,6.02817804380053
"K20541",6.60633700345478,6.66030981501611,7.0712658591354,7.24603650719111,7.12219689493653,7.01741171786994,7.15324896040645,6.81738484287677
"K01769",6.42496049745019,6.88404202041737,6.37890337774073,6.5196025876234,6.62376954278138,6.81658207810989,6.81654353909367,7.04511733208545
"K15283",9.02349266439919,8.98238136727235,9.04316701608878,8.98624881151744,8.90732048274889,9.51881312800395,9.47668953605555,9.01157037345189
"K09490",10.4700645892936,10.6197082455551,10.7014475464272,10.7883251288843,10.6649445883559,11.1896574665458,11.0643929328398,10.7078712468586
"K09415",7.14371825592982,7.09747333923786,6.85278687905789,6.78995939885976,6.87348927434705,7.32915764279278,7.35044284643982,7.36287873414283
"K09416",7.14371825592982,7.09747333923786,6.85278687905789,6.78995939885976,6.87348927434705,7.32915764279278,7.35044284643982,7.36287873414283
"K09417",7.14371825592982,7.09747333923786,6.85278687905789,6.78995939885976,6.87348927434705,7.32915764279278,7.35044284643982,7.36287873414283
"K12171",5.9432722680367,6.1753185726494,6.27817902098592,6.00714271842492,5.93830662787646,6.3045761054852,6.51103293286983,6.53093107248925
"K21552",6.78412943207522,6.53887496180441,6.57203852735745,6.10649654405928,6.19229702555886,6.27592256514662,6.55732156735493,6.6352711644771
"K17686",8.10112282953737,7.88879992975937,7.992469618692,8.00716239277627,7.79263909164882,8.3863552014792,8.29279031506731,8.4425001672287
"K05275",6.71149595745123,6.6213962137643,7.26691258398123,7.10558268671111,7.10479188926243,6.9290040068119,7.25569942182999,7.06225352910678
"K08235",7.25898977079085,7.30130381438692,7.49998887542945,7.20927663353834,6.98512411818883,7.4248578373759,7.43866088861062,7.79241091058735
"K01379",8.20578151367091,8.30261354111128,8.55912228894023,8.50718051160625,8.30315758488603,8.81080278891632,8.86005110494545,8.51317395052193
"K03935",9.32411919501669,9.31980741355929,9.07493234809812,9.03946444722831,8.79135541350694,8.91885168869111,8.78595758033523,8.7111545219705
"K22319",6.39111128292536,6.14225316745098,5.970772322512,6.00714271842492,5.96852284288246,5.55477732425448,5.86997237739807,5.9185435315942
