"","ko_id","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"2415","K12490",5.48527779249995,4.98150523328996,5.16864973262454,5.16896488493101,5.51130896750917
"2416","K18439",5.48527779249995,4.98150523328996,5.16864973262454,5.16896488493101,5.51130896750917
"2417","K18440",5.48527779249995,4.98150523328996,5.16864973262454,5.16896488493101,5.51130896750917
"2418","K12235",5.10402685054191,4.67750171443367,4.5188794157104,4.6954021343974,4.58866638384722
"2419","K17299",6.8366468639583,6.65102174201777,6.40675102437658,6.55548755774607,6.24198683857538
"2420","K12178",6.61271730675869,6.47787026209856,6.51527711545078,6.32354935374095,6.03026509927525
"2421","K03259",7.47812777318051,7.21737185973934,6.98430283620575,7.52280856988494,7.14782488594563
"2422","K01256",7.29047195808471,7.51220377185999,7.0923251626283,7.2564445880239,7.66967446821418
"2423","K00798",4.62618933199912,4.63194490561005,5.06678671728081,4.56654935774168,4.48357267540089
"2424","K09272",7.7926273022493,7.91768280782177,7.52720317845727,7.35845395651686,7.7812244770583
"2425","K02335",7.44476854397623,7.11034640808391,7.19271416879564,7.00825517630035,6.83235946471563
"2426","K04712",6.32132298153061,5.97723905706786,6.01812101795188,6.47297482498306,6.40374816045302
"2427","K11364",5.7390063932307,5.88567209561034,5.88704664080197,5.9232210476447,5.37671692152797
"2428","K04427",5.53121790106434,5.24486836115781,5.34913478802708,5.7661018927498,5.22551092492833
"2429","K15028",4.51754979962815,4.67750171443367,4.68711828408656,4.63325078458395,5.1128156296294
"2430","K17430",4.51754979962815,4.67750171443367,4.68711828408656,4.63325078458395,5.1128156296294
"2431","K04515",8.95596824447814,9.06486755070475,8.91032096449353,9.2473944428387,8.62930045759282
"2432","K08339",4.51754979962815,4.94802688947446,4.76100181182174,5.04727931817133,4.58866638384722
"2433","K01358",6.32132298153061,6.28008975536138,6.56652874065298,6.83323252818719,6.60636052083505
"2434","K11252",7.07432935578884,7.404657696111,6.76922038906677,7.03701645213179,7.04105026723518
"2435","K00670",4.62618933199912,4.67750171443367,4.76100181182174,5.08930216618671,4.48357267540089
"2436","K16833",6.48574892881727,6.03499136093171,6.06717642900201,6.06380324671906,5.87887863103518
"2437","K10575",6.76588822632998,7.37781301345233,7.17100951606832,7.08369395543147,7.21070553251227
"2438","K22066",5.10402685054191,5.41544911660977,5.118850391344,5.20683209797208,5.63291253819398
"2439","K11188",5.61839489874792,5.66249130458901,5.61247227323637,5.47317975751711,5.1128156296294
"2440","K12856",8.83292960241713,8.79476364596473,8.85388839746405,9.11089129083959,9.31824261464532
"2441","K03347",7.70155004975488,7.92139598697048,7.76962147259973,7.99573066691225,7.41655407364719
"2442","K16536",8.29403317956552,8.07594400697445,8.35763274700323,8.21166371822833,7.78945632773218
"2443","K03260",8.20413118869315,8.33988739053386,8.64671128382193,8.76061308637435,8.51503518910818
"2444","K03143",4.96753229051424,5.1913237661891,5.21640424711893,5.04727931817133,5.55314573012023
"2445","K05292",5.28238434647821,5.13521286171646,5.06678671728081,4.95814477325265,4.68256538194776
"2446","K15168",5.28238434647821,5.13521286171646,5.06678671728081,4.95814477325265,4.68256538194776
"2447","K05673",6.10575896336293,6.43629104430433,6.38781023928006,6.6707914014484,6.62509533264135
"2448","K00135",5.03786956801004,5.41544911660977,5.0121970410637,5.16896488493101,5.51130896750917
"2449","K15175",5.43759348076095,6.0629675832054,5.67866877200224,5.69257492828106,5.67101422119431
"2450","K12826",5.33634239027148,5.16360708284081,4.82972244769657,5.34727041009464,4.98776228308096
"2451","K04507",5.10402685054191,4.53327631451442,4.60694776098886,4.80877831604263,4.8464905387215
"2452","K20781",8.93218665615985,9.00674342478214,8.71167796971856,8.45333405006998,8.63842559856119
"2453","K13566",7.69211587015769,7.12336351324152,7.17100951606832,7.30443354777669,7.28267257553689
"2454","K01809",5.48527779249995,5.60507679206164,5.43019661152795,5.66711445634019,6.00132097388958
"2455","K21011",4.8923121109086,5.27076060217293,4.68711828408656,4.91067669111484,4.76792658999639
"2456","K21012",4.8923121109086,5.27076060217293,4.68711828408656,4.91067669111484,4.76792658999639
"2457","K00797",6.92038461592053,7.07056430059932,6.70990870668805,6.93878662311878,7.31733838671793
"2458","K03019",5.16655295494437,4.91347343248836,4.68711828408656,4.80877831604263,4.58866638384722
"2459","K12397",7.52142984903444,7.96522099427657,7.64178323490968,7.68836929574023,7.36228727216349
"2460","K13730",9.61364584232231,9.7578126711899,9.65407027076527,9.736293484893,9.20923028364044
"2461","K14566",4.51754979962815,4.91347343248836,5.06678671728081,4.95814477325265,4.68256538194776
"2462","K14327",8.86678071362171,8.35642253017316,8.50726391825152,8.32024131721858,8.63387025538993
"2463","K12817",6.59234027662285,6.2073268484567,6.70990870668805,6.6707914014484,6.76660372508283
"2464","K11975",6.29615530620199,6.70429030875895,6.16027138443357,6.19116441860199,6.44669568069034
"2465","K15285",6.95253978215644,7.2825706586362,7.0333301182903,7.34322702897532,6.81620556466079
"2466","K00809",4.51754979962815,4.58399009042699,4.5188794157104,4.41509804166835,4.98776228308096
"2467","K00542",4.51754979962815,4.63194490561005,4.5188794157104,4.41509804166835,4.98776228308096
"2468","K18477",4.51754979962815,4.63194490561005,4.5188794157104,4.41509804166835,4.98776228308096
"2469","K03511",5.57555028556207,5.56532315443573,5.3064976690926,5.08930216618671,5.59365005445202
"2470","K15172",8.60117353890001,8.32035312565233,8.14702952918682,8.11223126376858,8.53959976396964
"2471","K18577",6.21777044533226,6.360392093777,6.04287095145227,6.20842685478619,5.77904836700286
"2472","K12816",6.37032383960565,6.70429030875895,6.16027138443357,6.3076805336598,6.16638670717464
"2473","K04734",6.346040340884,6.19481581914396,6.09105402288695,6.06380324671906,5.74401945735001
"2474","K00326",7.36376205786903,7.28835261013719,7.81215116211806,7.57581854937768,7.70493104502965
"2475","K15996",5.43759348076095,5.32092659636721,4.95476509530233,4.95814477325265,5.05203436412845
"2476","K19569",5.43759348076095,5.32092659636721,4.95476509530233,4.95814477325265,5.05203436412845
"2477","K06177",4.39263495101978,4.76251873374632,5.0121970410637,4.75372824621111,4.76792658999639
"2478","K15849",6.44072239541285,6.47787026209856,6.46207138433528,6.41512041958085,6.94054516270844
"2479","K20967",5.77685230285336,5.99191067543796,5.67866877200224,5.41182591790744,5.87887863103518
"2480","K20865",9.32198949332095,9.35798858037975,9.51547179619127,9.75787820302485,9.17829534258511
"2481","K14803",5.16655295494437,5.3452504837182,4.89410238791289,5.34727041009464,4.91947261339932
"2482","K11699",5.77685230285336,5.36909863052453,5.46882136588332,5.41182591790744,5.84643053830942
"2483","K07232",5.61839489874792,5.86978179385767,5.34913478802708,5.34727041009464,5.63291253819398
"2484","K19496",5.61839489874792,5.86978179385767,5.34913478802708,5.34727041009464,5.63291253819398
"2485","K14964",6.19061580524785,6.07674208280167,6.34913415276555,6.33923798255651,6.66183050786691
"2486","K10300",6.61271730675869,6.7387135718336,6.58320345802262,6.48707033992456,7.05484415637272
"2487","K03846",6.29615530620199,6.57669765167741,6.32938318208337,6.1198500204419,6.00132097388958
"2488","K12580",8.64085276196444,8.05244187780947,8.27401727544357,8.46388894749411,8.38550153108998
"2489","K03424",5.38800856862424,5.52428959920399,5.21640424711893,5.7661018927498,5.27805127496567
"2490","K02221",5.65985784708021,5.56532315443573,5.71054050846043,6.04459466594866,5.46803794898329
"2491","K00767",4.8923121109086,4.67750171443367,4.95476509530233,4.86098055203478,5.27805127496567
"2492","K00222",5.10402685054191,4.94802688947446,4.60694776098886,4.91067669111484,5.17052691483665
"2493","K06877",5.53121790106434,5.99191067543796,6.01812101795188,6.06380324671906,5.8131688941419
"2494","K22265",6.44072239541285,6.66004129896794,6.51527711545078,6.87640404838036,6.94054516270844
"2495","K14050",7.11743580581879,6.65102174201777,7.13781910459619,6.87640404838036,7.14782488594563
"2496","K12736",4.72317897075127,5.29610466200889,5.16864973262454,5.16896488493101,5.05203436412845
"2497","K12948",5.16655295494437,4.80240625900027,5.118850391344,5.27910583564793,5.37671692152797
