"","ko_id","add_backB","add_backC","pFe21_9A","pFe19A","pFe19B","pFe19C","pFe21_9B","pFe21_9C"
"584","K02542",5.88944100000734,6.53010111630591,7.41019239202458,7.99725421736056,8.3256905335365,7.60865692036083,7.07311213392226,6.30592082234411
"585","K02982",10.9176516951138,10.018484198305,11.3828610833051,12.1964121963257,11.2080408234057,11.6321527574689,9.76777166587411,10.2176629709583
"586","K02983",4.52292420744762,4.56501783167434,6.0686367059627,6.54749733237051,6.52639802766385,5.96155526208269,6.29861859311252,6.51649686504338
"587","K02112",7.31991707182312,6.32205232703914,8.94032534134231,8.3318401505868,7.89431432181381,7.87309339058882,6.68109073061861,7.71095238552502
"588","K19327",6.90292630412522,6.89600366860658,5.20179388778037,4.59283563988813,5.28963753383967,5.88286878827451,6.06036678345182,6.58030651789512
"589","K12585",3.10993723233681,2.71827869300912,4.51402974045441,4.15567892709546,4.83581398021254,4.3851404501789,4.76371076313647,5.09851719680494
"590","K01829",8.06990538476644,7.90006618288845,6.52532581302209,6.02171216337924,5.81675601694817,6.17430568293992,6.99103875370826,7.18270186508602
"591","K15449",4.67939144359418,4.84492175494925,6.78647922926654,6.47997651799503,6.13023535400191,6.30024873306115,6.63851973587645,6.80278045216699
"592","K00033",8.21682900479086,8.65851779257953,7.45175104104604,7.77221616876152,6.93946920920064,6.95366051544696,6.53783131125893,6.16994334154056
"593","K03231",8.89091354954028,8.59971406231873,10.9088066522711,9.85338841865754,9.71157019416458,9.89000628330903,10.2858049451705,10.9564057516575
"594","K00647",2.71827869300912,3.26292427686269,5.20179388778037,4.01379929287045,4.27677957492111,2.71827869300912,3.7780757464386,4.20691093745454
"595","K01883",6.36491456130718,7.58734532994532,8.04711158578234,9.11596886095957,8.79550378270939,8.224209614458,8.08077437607365,7.49705833768588
"596","K08341",7.56299672605112,7.42130413303125,5.87660364295086,6.38467157536536,6.02067259924439,5.7778864386426,5.43826410363232,5.33403628687654
"597","K00480",4.34342782024184,4.79363794333221,2.71827869300912,2.71827869300912,2.71827869300912,2.71827869300912,3.96178137522907,3.56877656530315
"598","K15382",7.35480086863001,6.98541561510461,5.32959157579315,5.17278358099599,5.41235686582768,5.15567297370466,5.8696898249692,5.60768307045787
"599","K14709",6.47250787452177,6.21471643788314,5.1330731949057,4.39438951853489,3.9475271791568,5.46107276296681,5.36019919962245,5.60768307045787
"600","K03626",4.61914034172326,4.56501783167434,6.74240591735117,5.98952912009383,6.52639802766385,6.28510275242709,6.13920586925589,6.42008920487674
"601","K01810",6.63792833714918,6.55957796981806,5.70154973307548,5.81657689947437,5.81675601694817,5.90295624940012,7.65542144717191,7.81273458318712
"602","K01899",6.8731140957787,6.75047258748626,5.99492775952128,5.98952912009383,6.23193304744492,6.3447427808982,5.18927432531447,4.30761676574158
"603","K03681",3.39258178995175,2.71827869300912,4.51402974045441,4.49765623422506,4.12466798416602,4.7125928257059,5.09497957081484,5.17357374613766
"604","K03639",3.10993723233681,4.50067051101057,5.9565791457952,4.59283563988813,4.64134179111593,3.71512116794061,4.25247561619039,4.99140925824675
"605","K13806",6.35629170567809,6.17705709564895,4.11043691322429,4.91471890617687,4.41098717140293,4.75970050503897,4.53465191776606,4.40023869461221
"606","K11883",3.2704927687288,3.65091956100718,4.98406919284981,4.76386082981924,4.83581398021254,4.75970050503897,5.53591524562846,5.71022749920649
"607","K20715",7.97229490043096,7.91149411912956,5.91715880801938,6.28253195543885,6.13023535400191,6.23867212779122,7.36777950407397,7.34322546567818
"608","K01934",5.69638714828568,6.17705709564895,4.26125715635484,4.98408240335332,3.9475271791568,4.7125928257059,5.92430071183426,5.90956956870644
"609","K01999",3.92512169743489,5.62346742852524,6.13869582957069,4.49765623422506,5.28963753383967,4.55971554908469,3.67028093359806,4.56637688727451
"610","K03037",7.37193047865865,6.96357964324112,6.13869582957069,5.57622891738065,5.62919348577916,5.68784580086793,4.99353869636282,5.14901714786614
"611","K06891",4.41848872168608,4.79363794333221,4.39437897551672,4.28124800268776,4.27677957492111,4.61277633118604,6.09243095399967,6.36932582157343
"612","K10696",6.35629170567809,7.12961819157988,8.36944320755604,8.92709269680615,8.68717776180269,8.13470888523805,7.99511142283223,8.01678867464255
"613","K13349",5.69638714828568,5.50548019780422,3.72101777063876,3.84913674762801,3.44203611551416,3.82755781422924,4.18676524857046,4.40023869461221
"614","K06691",7.28868366831963,7.23356390611343,6.57649400934433,6.17248490637996,5.57808098237675,5.56645616145166,5.48795205367103,5.07253575899874
"615","K10632",6.45647430273975,5.6789078970455,4.11043691322429,4.39438951853489,4.41098717140293,4.32077430308287,4.18676524857046,4.78007859165642
"616","K00311",7.76117848949461,7.58734532994532,6.30005534707862,5.38928149449575,5.94260984971272,6.15774744314272,5.90633139613517,6.08415815159798
"617","K10251",6.53489948532801,6.19601163959489,5.06064982280389,4.68123855852436,5.35237122914404,4.97248769363267,6.68109073061861,6.66678821693799
"618","K14827",3.10993723233681,2.71827869300912,4.81610947763809,4.49765623422506,4.5315696938922,4.7125928257059,4.72110367941208,4.84403314998276
"619","K02406",3.98060147914019,5.59489705049749,6.55113899334137,5.43844528215566,5.67849613636443,4.1801201593817,4.92132651256519,5.04603916421167
"620","K14536",2.71827869300912,2.71827869300912,3.43430908694628,3.6492062402105,3.44203611551416,4.01887512658513,5.02821814841379,4.67774260011138
"621","K03088",4.13109959534137,6.03676615659387,5.87660364295086,5.04998940584271,5.08191133869069,3.82755781422924,4.88367637888146,5.99283759131077
"622","K20726",4.55583560242773,5.11652712316249,3.72101777063876,3.6492062402105,2.71827869300912,4.32077430308287,4.67702155983799,5.17357374613766
"623","K01626",6.57996710586805,6.54491557658547,8.75932594618197,8.14921469017411,7.77674670389707,7.7687453478686,8.0886732907929,8.61709184325569
"624","K01595",3.49460312759357,4.01611222604498,6.10409935407052,5.04998940584271,5.15476313615636,5.5915959947935,5.09497957081484,5.17357374613766
"625","K15701",5.31802081584819,4.56501783167434,3.43430908694628,2.71827869300912,3.44203611551416,3.43001872679015,4.25247561619039,4.40023869461221
"626","K00643",3.10993723233681,4.11290802815795,5.7918062527338,3.6492062402105,3.9475271791568,3.58571983713356,3.67028093359806,4.67774260011138
"627","K01835",8.86547364952223,8.74085793771935,6.64996719635733,7.40013658876328,7.64872079723498,6.93445563488987,8.09260657047735,8.51166920632856
"628","K09489",8.67876150236848,9.30573985778863,9.12269499584998,9.75262169070286,9.69694482446704,9.0057141134494,7.60671945194475,7.65722965119584
"629","K19977",4.48910341865475,3.65091956100718,4.62299004036672,4.68123855852436,2.71827869300912,5.48818075218552,3.7780757464386,4.25837820371573
"630","K20276",7.04868688886532,6.72471232145941,6.67364268734626,6.96412991652146,6.91939298852555,7.04600856524452,5.15857062500568,5.09851719680494
"631","K00790",3.10993723233681,4.36070293789562,4.98406919284981,4.49765623422506,4.64134179111593,2.71827869300912,3.20071224447393,3.83189142421171
"632","K14648",9.65219154870909,9.09652723158703,7.16564847709343,7.8452760259214,7.85266433469566,8.12206197087144,7.48023458111077,7.93235275504043
"633","K09496",3.86633314943534,3.90927887057034,5.99492775952128,5.53180770986305,5.52501539798705,5.3168937625869,5.7127439422008,5.65989759747882
"634","K14753",5.35383208970032,5.44248933054265,7.43803112956479,6.67366039380982,6.60406284364462,6.77078706131017,7.01615724478828,7.5882328268191
"635","K02879",7.94110068188295,8.02104822643235,6.57649400934433,6.4567406635752,6.47217130015029,7.14116821095712,8.23818806609101,8.34666254238105
"636","K11447",6.63081038538495,8.06263913762272,8.43990126634825,9.07101777267405,9.17484285934713,7.84770653442065,8.24173421802747,7.53422412814744
"637","K11478",6.63081038538495,8.06263913762272,8.43990126634825,9.07101777267405,9.17484285934713,7.84770653442065,8.24173421802747,7.53422412814744
"638","K17512",3.2704927687288,3.65091956100718,5.50136723763528,5.23022281180215,5.08191133869069,5.22247716438743,4.18676524857046,4.25837820371573
"639","K01254",5.37139251652155,5.65146324786038,3.43430908694628,4.15567892709546,3.44203611551416,3.82755781422924,4.58394069275951,4.35484250860504
"640","K18312",3.86633314943534,6.30471619709071,5.1330731949057,4.15567892709546,4.5315696938922,4.01887512658513,3.96178137522907,4.25837820371573
"641","K20103",6.39047431733965,7.34743877254237,8.33287924553468,8.78121862692784,8.87562363676176,7.69662528273038,7.63936983024647,7.4685401317853
"642","K03694",3.98060147914019,5.62346742852524,5.74740520987062,4.76386082981924,4.41098717140293,3.43001872679015,4.67702155983799,5.45800983954352
"643","K01880",4.64962684548481,4.74022845326971,5.91715880801938,4.98408240335332,4.92305724446273,6.03608391610902,6.01086528054777,6.94781766437865
"644","K00327",5.08073412994042,4.68448833239034,3.43430908694628,3.6492062402105,2.71827869300912,3.43001872679015,4.31458836877884,4.74686984378003
"645","K11407",7.23350938004353,7.00692427426224,4.81610947763809,5.43844528215566,5.35237122914404,5.7778864386426,5.94204377516494,5.90956956870644
