"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_12023_length_1925_cov_68.446004_g6106_i0.p1",51.3062656694787,-3.38452972705586,0.437505483767509,-7.73597098237609,1.02616867781811e-14,4.67704879601096e-12
"NODE_17992_length_1560_cov_218.910558_g9379_i0.p1",134.823908425854,-2.26391797429519,0.293794908445257,-7.70577674839803,1.30049811544442e-14,5.79852529299242e-12
"NODE_32816_length_940_cov_2775.446367_g18361_i0.p2",381.53582497907,-2.66906216442189,0.346668962877523,-7.69916678512944,1.36956314859244e-14,5.97654046332574e-12
"NODE_28804_length_1090_cov_642.327434_g15759_i0.p1",413.370709315039,1.61254746612576,0.210388555235269,7.66461590233611,1.79367168445684e-14,7.66420963504373e-12
"NODE_31172_length_1002_cov_165.263724_g17297_i0.p1",59.3518447577171,-3.6595710312278,0.484415307840011,-7.55461475308385,4.20101437213529e-14,1.75842458719377e-11
"NODE_37795_length_757_cov_2205.013158_g21949_i0.p2",131.648833469367,-2.86829149266165,0.38083168339512,-7.53165142955227,5.01025611564575e-14,2.05520705863789e-11
"NODE_1173_length_3994_cov_81.879623_g582_i0.p1",90.0245858216187,-2.32979100320647,0.316620516796603,-7.35830712039146,1.86257131686492e-13,7.49045837429403e-11
"NODE_37994_length_749_cov_137.168639_g20485_i1.p1",68.9153912694394,4.7266468172065,0.642586440741839,7.35565912618663,1.89987277763954e-13,7.49353666718981e-11
"NODE_31031_length_1007_cov_1957.295503_g17211_i0.p2",688.280275350099,-1.76349758976904,0.240304159663532,-7.33860617410136,2.15829659987554e-13,8.35220061574476e-11
"NODE_5062_length_2677_cov_112.014977_g2218_i1.p1",143.270160517661,-4.73169509963515,0.660122597467397,-7.16790353456859,7.61549303835866e-13,2.83988658575884e-10
"NODE_9347_length_2144_cov_73.860937_g4663_i0.p1",57.6017490576718,-3.73052830650918,0.520277496826507,-7.17026650059627,7.48519111988886e-13,2.83988658575884e-10
"NODE_19469_length_1484_cov_236.109851_g5001_i1.p1",161.767980350581,-2.66747441368889,0.372910388738646,-7.15312443483141,8.48246451662361e-13,3.1067026292134e-10
"NODE_7828_length_2306_cov_59.298253_g3886_i0.p2",61.450114553224,-3.63399331342523,0.51187462121856,-7.09938168994238,1.25316270064131e-12,4.50918719125496e-10
"NODE_17832_length_1569_cov_115.418449_g2038_i6.p2",100.744356652319,-3.34429334130732,0.471228219160652,-7.09697171205949,1.27520146777637e-12,4.50937622484369e-10
"NODE_20621_length_1431_cov_217.257732_g10853_i0.p1",126.05995082149,-1.98795801949461,0.28064128476,-7.08362642080503,1.40430162948032e-12,4.88173329163412e-10
"NODE_6283_length_2496_cov_138.860091_g3107_i0.p1",122.814538328863,-2.17663084730646,0.307868236838734,-7.07000783730287,1.54924947242562e-12,5.29585111324159e-10
"NODE_29555_length_1061_cov_1674.182186_g16243_i0.p2",309.409179583245,-3.06987365892871,0.434682837101565,-7.06233004136628,1.6373352180491e-12,5.5052041511782e-10
"NODE_1150_length_4009_cov_77.281250_g568_i0.p1",137.197322542303,-1.75308365828909,0.248487341763702,-7.05502198158718,1.72573439974132e-12,5.7088407320475e-10
"NODE_36339_length_812_cov_2515.048714_g20860_i0.p1",351.938686641569,-2.18877786527778,0.310998997283731,-7.03789364079818,1.95167565346206e-12,6.35378851627093e-10
"NODE_11711_length_1948_cov_277.836267_g5484_i1.p1",215.855815865089,-2.69026320771021,0.382734540483672,-7.02905780155211,2.07932833649633e-12,6.66359752836559e-10
"NODE_21551_length_1388_cov_90.028897_g11387_i0.p1",55.5684330601253,-4.25123351391216,0.606569167127581,-7.00865415570652,2.40621410784913e-12,7.59253097722855e-10
"NODE_18072_length_1556_cov_143.931895_g8486_i1.p2",87.5069371061337,-1.79940418503502,0.257392517064041,-6.99089548352067,2.73137190069795e-12,8.48794510353257e-10
"NODE_20015_length_1459_cov_88.213564_g10508_i0.p1",68.6928996310087,-2.23256210505011,0.319999362335643,-6.97677048089991,3.02042539737635e-12,9.24610819405806e-10
"NODE_1431_length_3815_cov_42.835917_g712_i0.p1",82.8637929798566,-3.07016549016474,0.440627285688776,-6.96771532286192,3.22129208190731e-12,9.71598538234101e-10
"NODE_1473_length_3794_cov_252.739317_g365_i3.p2",159.681080748919,-2.90977545698518,0.417821592314566,-6.96415769435508,3.30374383224347e-12,9.82025884048023e-10
"NODE_21316_length_1399_cov_64.722474_g11254_i0.p2",52.2356073411199,-3.45579334376978,0.497889720673603,-6.9408810832535,3.89661923693863e-12,1.14170943642302e-09
